date,country,region,accomodation type,price,currency,memo
2023/4/17,Japan,Sanda,parents' home,0,JPY,-
2023/4/18,Japan,Sanda,parents' home,0,JPY,-
2023/4/19,Japan,Sanda,parents' home,0,JPY,-
2023/4/20,Japan,Sanda,parents' home,0,JPY,-
2023/4/21,Japan,Sanda,parents' home,0,JPY,-
2023/4/22,Japan,Sanda,parents' home,0,JPY,-
2023/4/23,Japan,Sanda,parents' home,0,JPY,-
2023/4/24,Japan,Sanda,parents' home,0,JPY,-
2023/4/25,Japan,Sanda,parents' home,0,JPY,-
2023/4/26,Japan,Sanda,parents' home,0,JPY,-
2023/4/27,Japan,Sanda,parents' home,0,JPY,-
2023/4/28,Japan,Sanda,parents' home,0,JPY,-
2023/4/29,Japan,Sanda,parents' home,0,JPY,-
2023/4/30,Japan,Sanda,parents' home,0,JPY,-
2023/5/1,Japan,Sanda,parents' home,0,JPY,-
2023/5/2,Japan,Sanda,parents' home,0,JPY,-
2023/5/3,Japan,Sanda,parents' home,0,JPY,-
2023/5/4,Japan,Sanda,parents' home,0,JPY,-
2023/5/5,Japan,Sanda,parents' home,0,JPY,-
2023/5/6,Japan,Sanda,parents' home,0,JPY,-
2023/5/7,Japan,Sanda,parents' home,0,JPY,-
2023/5/8,Japan,Sanda,parents' home,0,JPY,-
2023/5/9,Japan,Sanda,parents' home,0,JPY,-
2023/5/10,Japan,Sanda,parents' home,0,JPY,-
2023/5/11,Japan,Sanda,parents' home,0,JPY,-
2023/5/12,Japan,Sanda,parents' home,0,JPY,-
2023/5/13,Japan,Sanda,parents' home,0,JPY,-
2023/5/14,Japan,Sanda,parents' home,0,JPY,-
2023/5/15,Japan,Sanda,parents' home,0,JPY,-
2023/5/16,Japan,Sanda,parents' home,0,JPY,-
2023/5/17,Japan,Sanda,parents' home,0,JPY,-
2023/5/18,Japan,Sanda,parents' home,0,JPY,-
2023/5/19,Japan,Sanda,parents' home,0,JPY,-
2023/5/20,Japan,Sanda,parents' home,0,JPY,-
2023/5/21,Japan,Sanda,parents' home,0,JPY,-
2023/5/22,Japan,Sanda,parents' home,0,JPY,-
2023/5/23,Japan,Sanda,parents' home,0,JPY,-
2023/5/24,Japan,Sanda,parents' home,0,JPY,-
2023/5/25,Japan,Sanda,parents' home,0,JPY,-
2023/5/26,Japan,Sanda,parents' home,0,JPY,-
2023/5/27,Japan,Sanda,parents' home,0,JPY,-
2023/5/28,Japan,Osaka,Airport,0,JPY,-
2023/5/29,Taiwan,Taipei,dormitory,2134,JPY,
2023/5/30,Taiwan,Taipei,dormitory,2134,JPY,
2023/5/31,Taiwan,Taichung ,dormitory,1537,JPY,
2023/6/1,Taiwan,Tainan,dormitory,1897,JPY,
2023/6/2,Taiwan,Kaohsiung,dormitory,1579,JPY,
2023/6/3,Philippines,Manila,single room,3250,JPY,
2023/6/4,Philippines,Manila,dormitory,888,JPY,
2023/6/5,Philippines,Manila,dormitory,888,JPY,
2023/6/6,Philippines,Puerto Galera,dormitory,959,JPY,
2023/6/7,Philippines,Puerto Galera,dormitory,959,JPY,
2023/6/8,Philippines,Mabini,dormitory,959,JPY,
2023/6/9,Philippines,Angeles,single room,1586,JPY,
2023/6/10,Philippines,Balanga,single room,1425,JPY,
2023/6/11,Philippines,Manila,dormitory,1597,JPY,
2023/6/12,Japan,Sanda,parents' home,0,JPY,-
2023/6/13,Japan,Sanda,parents' home,0,JPY,-
2023/6/14,Japan,Sanda,parents' home,0,JPY,-
2023/6/15,Japan,Sanda,parents' home,0,JPY,-
2023/6/16,Japan,Sanda,parents' home,0,JPY,-
2023/6/17,Japan,Sanda,parents' home,0,JPY,-
2023/6/18,Japan,Sanda,parents' home,0,JPY,-
2023/6/19,Japan,Sanda,parents' home,0,JPY,-
2023/6/20,Japan,Sanda,parents' home,0,JPY,-
2023/6/21,Vietnam,Hà Nội ,single room,1723,JPY,
2023/6/22,UK,London,dormitory,18.71,EURO,
2023/6/23,UK,London,Air port,0,EURO,
2023/6/24,Ísland,Reykjavík,dormitory,47.4,EURO,
2023/6/25,Ísland,Reykjavík,dormitory,47.4,EURO,
2023/6/26,Ísland,Reykjavík,dormitory,47.4,EURO,
2023/6/27,Ísland,Reykjavík,dormitory,39.89,EURO,
2023/6/28,Ireland,Dublin,dormitory,33.36,EURO,
2023/6/29,UK,Belfast,dormitory,22.68,EURO,
2023/6/30,UK,Belfast,dormitory,33.91,EURO,
2023/7/1,UK,Glasgow,dormitory,30.4,EURO,
2023/7/2,UK,Cardiff,dormitory,20.35,EURO,
2023/7/3,UK,Bath,dormitory,21.05,EURO,
2023/7/4,UK,London,dormitory,24.05,EURO,
2023/7/5,France,Lille,dormitory,19.87,EURO,
2023/7/6,France,Lille,dormitory,19.87,EURO,
2023/7/7,Belgien,Namur,dormitory,31,EURO,
2023/7/8,Belgien,Leuven,dormitory,31,EURO,
2023/7/9,Nederland,Amsterdam,dormitory,20.69,EURO,
2023/7/10,Germany,Osnabrück,dormitory,19,EURO,
2023/7/11,Germany,Flensburg,dormitory,24.3,EURO,
2023/7/12,Danmark,Kopenhagen,dormitory,24.79,EURO,
2023/7/13,Sweden,Helsingborg,single room,30.33,EURO,
2023/7/14,Norway,Oslo,dormitory,29.8,EURO,
2023/7/15,Norway,-,train,-,-,
2023/7/16,Norway,Narvik,dormitory,26.03,EURO,
2023/7/17,Norway,Narvik,dormitory,26.03,EURO,
2023/7/18,Sweden,Luleå,single room,32.04,EURO,
2023/7/19,Finland,Rovaniemi,dormitory,29.6,EURO,
2023/7/20,Finland,Helsinki,dormitory,16.14,EURO,
2023/7/21,Finland,Helsinki,dormitory,16.14,EURO,
2023/7/22,Estonia,Tallinn,dormitory,13.86,EURO,
2023/7/23,Latvia,Riga,dormitory,12.03,EURO,
2023/7/24,Lithuania,Vilnius,dormitory,15,EURO,
2023/7/25,Lithuania,Kaunas,dormitory,13.82,EURO,
2023/7/26,Poland,Białystok,dormitory,6.84,EURO,
2023/7/27,Poland,Kraków,dormitory,10.99,EURO,
2023/7/28,Poland,Wrocław,dormitory,14.81,EURO,
2023/7/29,Germany,Leipzig,dormitory,19.13,EURO,
2023/7/30,Germany, Stuttgart,dormitory,16.79,EURO,
2023/7/31,czech,tabor,dormitory,14.69,EURO,
2023/8/1,Slovakia,Banska Bystrica,dormitory,18.45,EURO,
2023/8/2,Slovakia,Kurompachy,single room,17.5,EURO,
2023/8/3,Hungary,Budapest,dormitory,15.32,EURO,
2023/8/4,Hungary,Budapest,dormitory,15.32,EURO,
2023/8/5,czech,Brno,dormitory,18.94,EURO,
2023/8/6,Austria,Innsbruck,dormitory,38,EURO,
2023/8/7,Switzerland,Lugano,dormitory,33.21,EURO,
2023/8/8,France,Lyon,dormitory,26.03,EURO,
2023/8/9,France,Clermont-Ferrand,dormitory,19,EURO,
2023/8/10,France,Colomiers,dormitory,22,EURO,
2023/8/11,France,La Réole,dormitory,27.9,EURO,
2023/8/12,Spain,pamplona,dormitory,20.7,EURO,
2023/8/13,Spain,toledo,dormitory,18.36,EURO,
2023/8/14,Spain,Sevilla,dormitory,12,EURO,
2023/8/15,Morocco,Tangier,dormitory,14.5,EURO,
2023/8/16,Morocco,Chefchaouen,dormitory,5.76,EURO,
2023/8/17,Morocco,Fes,dormitory,4.56,EURO,
2023/8/18,Morocco,Meknès,dormitory,9.72,EURO,
